"","CNT","CNTSCHID","CNTSTUID","STRATUM","MeanCrtScore","MeanMthScore","MeanReadScore","MeanSciScore"
"1","Philippines",60800047,60800001,"PHL - stratum 11: REGION 10",27.22,470.4711,452.175,435.1174
"2","Philippines",60800131,60800002,"PHL - stratum 04: REGION 4A",18.82,350.7806,335.021,383.0901
"3","Philippines",60800080,60800003,"PHL - stratum 14: NCR",47.17,494.0589,508.9489,555.1994
"4","Philippines",60800058,60800004,"PHL - stratum 03: REGION 3",2.02,280.513,250.5135,230.3145
"5","Philippines",60800179,60800005,"PHL - stratum 16: CARAGA",14.46,432.0604,417.307,425.3583
"6","Philippines",60800112,60800006,"PHL - stratum 12: REGION 11",12.44,322.3922,316.7223,338.8065
"7","Philippines",60800071,60800007,"PHL - stratum 09: REGION 8",5.72,294.9586,278.8413,346.0025
"8","Philippines",60800011,60800008,"PHL - stratum 08: REGION 7",36.18,479.2127,494.2689,470.1939
"9","Philippines",60800052,60800009,"PHL - stratum 12: REGION 11",23.09,416.8157,450.9359,392.2486
"10","Philippines",60800100,60800010,"PHL - stratum 07: REGION 6",1.73,329.2704,256.1005,325.5912
"11","Philippines",60800145,60800011,"PHL - stratum 13: REGION 12",6.76,324.2013,286.0358,307.1207
"12","Philippines",60800171,60800012,"PHL - stratum 03: REGION 3",7.33,359.7549,328.641,375.5258
"13","Philippines",60800050,60800013,"PHL - stratum 14: NCR",6.97,321.0191,319.2297,321.277
"14","Philippines",60800036,60800014,"PHL - stratum 04: REGION 4A",13.42,358.6269,318.3699,328.7943
"15","Philippines",60800076,60800015,"PHL - stratum 08: REGION 7",16.42,342.5443,340.5238,329.7648
"16","Philippines",60800101,60800016,"PHL - stratum 06: REGION 5",1.24,277.0623,259.3507,234.701
"17","Philippines",60800006,60800018,"PHL - stratum 11: REGION 10",6.57,303.49,290.6749,296.1871
"18","Philippines",60800087,60800019,"PHL - stratum 09: REGION 8",3.3,318.5163,261.2501,316.5069
"19","Philippines",60800182,60800020,"PHL - stratum 06: REGION 5",12.91,346.0232,317.8211,338.8712
"20","Philippines",60800069,60800021,"PHL - stratum 08: REGION 7",3.69,282.4006,298.4683,285.668
"21","Philippines",60800015,60800022,"PHL - stratum 08: REGION 7",4.06,259.6665,223.5375,225.6228
"22","Philippines",60800160,60800023,"PHL - stratum 02: REGION 2",23.52,406.7946,417.5635,374.0364
"23","Philippines",60800154,60800024,"PHL - stratum 07: REGION 6",20.66,372.951,409.8817,379.8677
"24","Philippines",60800099,60800025,"PHL - stratum 03: REGION 3",45.04,543.6373,575.6242,552.8322
"25","Philippines",60800033,60800026,"PHL - stratum 14: NCR",45.91,403.0495,429.3798,384.2326
"26","Philippines",60800139,60800027,"PHL - stratum 08: REGION 7",22.28,393.7264,453.4176,451.4238
"27","Philippines",60800088,60800028,"PHL - stratum 08: REGION 7",13,334.3514,321.357,332.2264
"28","Philippines",60800087,60800029,"PHL - stratum 09: REGION 8",3.14,303.9249,266.6853,280.438
"29","Philippines",60800069,60800030,"PHL - stratum 08: REGION 7",12.99,414.2962,409.5796,432.7232
"30","Philippines",60800026,60800031,"PHL - stratum 03: REGION 3",18.26,346.3111,372.3334,361.0826
"31","Philippines",60800097,60800032,"PHL - stratum 15: CAR",10.51,331.1481,263.5399,360.8652
"32","Philippines",60800064,60800033,"PHL - stratum 04: REGION 4A",25.62,431.2148,471.9895,428.0903
"33","Philippines",60800113,60800034,"PHL - stratum 04: REGION 4A",38.02,416.5757,474.1415,459.451
"34","Philippines",60800054,60800035,"PHL - stratum 04: REGION 4A",33.01,506.4552,520.4905,499.9121
"35","Philippines",60800018,60800036,"PHL - stratum 14: NCR",41.43,497.5544,562.7362,592.3738
"36","Philippines",60800019,60800037,"PHL - stratum 16: CARAGA",28.22,414.9913,427.9534,428.0153
"37","Philippines",60800077,60800038,"PHL - stratum 11: REGION 10",23.4,402.8656,425.9712,434.8641
"38","Philippines",60800184,60800039,"PHL - stratum 14: NCR",14.62,384.1589,393.7302,349.9336
"39","Philippines",60800022,60800040,"PHL - stratum 04: REGION 4A",3.31,300.5595,277.3043,309.8181
"40","Philippines",60800078,60800041,"PHL - stratum 04: REGION 4A",18.72,398.3799,393.8423,377.969
"41","Philippines",60800108,60800042,"PHL - stratum 04: REGION 4A",25.78,315.7099,317.694,297.8272
"42","Philippines",60800001,60800044,"PHL - stratum 11: REGION 10",2.3,338.4438,303.0514,313.9631
"43","Philippines",60800150,60800045,"PHL - stratum 05: REGION 4B",1.95,296.5961,248.1607,302.2575
"44","Philippines",60800061,60800046,"PHL - stratum 01: REGION 1",17.84,379.7681,371.2843,423.3359
"45","Philippines",60800127,60800047,"PHL - stratum 01: REGION 1",21.72,355.7709,375.8042,326.4383
"46","Philippines",60800160,60800048,"PHL - stratum 02: REGION 2",0.47,337.4177,243.2185,278.7547
"47","Philippines",60800047,60800049,"PHL - stratum 11: REGION 10",9.08,369.8836,392.2199,374.7901
"48","Philippines",60800008,60800050,"PHL - stratum 06: REGION 5",2.09,250.9028,265.587,297.7759
"49","Philippines",60800054,60800051,"PHL - stratum 04: REGION 4A",6.49,304.5665,267.4078,305.3705
"50","Philippines",60800184,60800052,"PHL - stratum 14: NCR",8.38,340.3792,336.7436,354.1893
